suggestion_id,pick,text,kind,band,det_majority,panel_signal,panel_confidence,judge_band,judge_key,model,prompt_style,call_path,llm_verdict,llm_score,llm_reason,ollama_total_ms,agrees_det_majority,expected,agrees_expected
21,flagged_citation,"Doyle v. Ohio,",CITATION · NOT PII,flagged,keep,agree,9,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,keep,80,ai_classify label=keep,,true,keep,true
21,flagged_citation,"Doyle v. Ohio,",CITATION · NOT PII,flagged,keep,agree,9,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,100,citation,293.550667,true,keep,true
21,flagged_citation,"Doyle v. Ohio,",CITATION · NOT PII,flagged,keep,agree,9,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,85,Citation context,389.176792,true,keep,true
65,street_fp,Schmidt Street,STREET NAME · NOT PII,review,keep,agree,18,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,false,keep,false
65,street_fp,Schmidt Street,STREET NAME · NOT PII,review,keep,agree,18,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,Street name shares surname with no house number,339.5595,true,keep,true
65,street_fp,Schmidt Street,STREET NAME · NOT PII,review,keep,agree,18,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,10,street name,375.499292,true,keep,true
74,flagged_citation,"Schmidt v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,false,keep,false
74,flagged_citation,"Schmidt v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,100,citation,293.098167,true,keep,true
74,flagged_citation,"Schmidt v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,85,Citation context,386.235625,true,keep,true
108,officer_fp,"Det. R. Feeney #8086",OFFICER · NOT SUBJECT PII,review,keep,agree,26,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,keep,80,ai_classify label=keep,,true,keep,true
108,officer_fp,"Det. R. Feeney #8086",OFFICER · NOT SUBJECT PII,review,keep,agree,26,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,90,Reporting officer name with badge number is a street label,345.601125,true,keep,true
108,officer_fp,"Det. R. Feeney #8086",OFFICER · NOT SUBJECT PII,review,keep,agree,26,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,50,Officer identification,393.737125,true,keep,true
109,true_person,Hilbert Feeney,PERSON · SUBJECT,high,redact,agree,81,review,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,true,redact,true
109,true_person,Hilbert Feeney,PERSON · SUBJECT,high,redact,agree,81,review,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",366.588709,false,redact,false
109,true_person,Hilbert Feeney,PERSON · SUBJECT,high,redact,agree,81,review,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Subject PII,515.428541,true,redact,true
110,true_dob,09/14/1997,DATE OF BIRTH,high,redact,agree,92,high,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,true,redact,true
110,true_dob,09/14/1997,DATE OF BIRTH,high,redact,agree,92,high,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,DOB is protected PII,314.47025,true,redact,true
110,true_dob,09/14/1997,DATE OF BIRTH,high,redact,agree,92,high,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Contains DOB and full name,545.497541,true,redact,true
111,true_address,"6396 Maple St,",ADDRESS · SUBJECT,high,redact,agree,89,review,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,true,redact,true
111,true_address,"6396 Maple St,",ADDRESS · SUBJECT,high,redact,agree,89,review,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",369.91325,false,redact,false
111,true_address,"6396 Maple St,",ADDRESS · SUBJECT,high,redact,agree,89,review,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Contains subject PII,541.289459,true,redact,true
